player_id,team_id,index,gp,goals,assists,powerPlayGoals,powerPlayAssists,shortHandedGoals,shortHandedAssists,shots,blocked,timeOnIce,fantasy_points,type,season,firstName,lastName,nationality,birthCity,primaryPosition,birthDate,birthStateProvince,height,height_cm,weight,shootsCatches,BirthYear,currentyear,age,franchiseId,shortName,teamName,abbreviation
8465009,6,410486,71,5,10,0,0,0,0,88,108.0,88972,453.59999999999997,R,20192020,Zdeno,Chara,SVK,Trencin,D,1977-03-18 00:00:00,,"6' 9""",205.74,250.0,L,1977,2019,42,6,Boston,Bruins,BOS
8466138,28,1206271,70,7,24,3,5,0,0,76,29.0,65102,448.0,R,20192020,Joe,Thornton,CAN,London,C,1979-07-02 01:00:00,ON,"6' 4""",193.04,220.0,L,1979,2019,40,29,San Jose,Sharks,SJS
8466139,5,81199,8,1,1,0,0,0,0,16,2.0,7399,48.800000000000004,R,20192020,Patrick,Marleau,CAN,Aneroid,C,1979-09-15 01:00:00,SK,"6' 2""",187.96,215.0,L,1979,2019,40,17,Pittsburgh,Penguins,PIT
8466139,28,999933,58,10,10,1,0,0,0,101,22.0,54287,397.3,R,20192020,Patrick,Marleau,CAN,Aneroid,C,1979-09-15 01:00:00,SK,"6' 2""",187.96,215.0,L,1979,2019,40,29,San Jose,Sharks,SJS
8468493,9,1025026,64,1,11,0,0,0,3,43,102.0,79418,338.0,R,20192020,Ron,Hainsey,USA,Bolton,D,1981-03-24 00:00:00,CT,"6' 3""",190.5,210.0,L,1981,2019,38,30,Ottawa,Senators,OTT
8468508,12,692078,20,8,3,2,1,0,0,60,7.0,16339,228.7,R,20192020,Justin,Williams,CAN,Cobourg,RW,1981-10-04 01:00:00,ON,"6' 1""",185.42,188.0,R,1981,2019,38,26,Carolina,Hurricanes,CAR
8468674,54,647589,49,1,5,0,0,0,1,59,86.0,51630,285.99999999999994,R,20192020,Deryk,Engelland,CAN,Edmonton,D,1982-04-03 01:00:00,AB,"6' 2""",187.96,214.0,R,1982,2019,37,38,Vegas,Golden Knights,VGK
8469454,8,566140,22,6,7,1,1,0,0,62,11.0,24937,245.79999999999995,R,20192020,Ilya,Kovalchuk,RUS,Tver,RW,1983-04-15 01:00:00,,"6' 3""",190.5,230.0,R,1983,2019,36,1,Montreal,Canadiens,MTL
8469454,15,241293,10,1,4,0,0,0,0,22,4.0,8772,85.60000000000001,R,20192020,Ilya,Kovalchuk,RUS,Tver,RW,1983-04-15 01:00:00,,"6' 3""",190.5,230.0,R,1983,2019,36,24,Washington,Capitals,WSH
8469454,26,211655,17,3,6,1,2,0,0,35,9.0,15717,155.90000000000003,R,20192020,Ilya,Kovalchuk,RUS,Tver,RW,1983-04-15 01:00:00,,"6' 3""",190.5,230.0,R,1983,2019,36,14,Los Angeles,Kings,LAK
